,,,,,,,,,,,,,,,,,total unique,total analysed,total missing,total added,total missing and added,net total missing
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_ new_sent has _( it rating _( customer 1 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname cheap friendly family coffee serves _( food english )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,area city centre,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating 1 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee located _( centre city )_ )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced moderately coffee serves _( food english )_ )_ new_sent located _( it riverside xnear friendly _( and not kid )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly child coffee serving _( food english )_ )_ new_sent has _( it range _( high price rating _( and customer 1 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee serves _( food english range _( high price rating _( and average customer )_ )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 1 out of 5,,area city centre,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,customer rating high,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it centre city )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area city centre,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname priced high coffee centre _( city xnear )_ )_ new_sent serves _( it food english friendly _( and not children )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname cheap coffee xnear )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating average,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee centre city xnear )_ new_sent has _( it rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname priced high coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname cheap friendly family coffee serves _( food english )_ )_ new_sent located _( it centre _( city xnear )_ has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating average,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee rating _( average customer )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,area riverside,,family Friendly no,,near xnear,,added,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ friendly _( and not family )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname cheap coffee serves _( food english )_ )_ new_sent friendly _( it not family has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area riverside,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee serving _( food english area riverside )_ )_ new_sent friendly _( it not family has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 1 out of 5,,area riverside,,near xnear,,added,,,,,,,,,,0,0,0,0,
has _( xname rating _( customer 1 5 )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area city centre,,family Friendly yes,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family centre city )_ new_sent has _( it rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee serves _( food english range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it centre city has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname priced high coffee serves _( food english )_ )_ new_sent friendly _( it not child has _( and rating _( customer 1 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating 1 out of 5,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating 1 out of 5,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname priced high coffee centre _( city serves _( food english )_ )_ )_ new_sent friendly _( it not child has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 5 out of 5,,area riverside,,near xnear,,added,,,,,,,,,,0,0,0,0,
located _( xname riverside xnear )_ new_sent has _( it rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,area city centre,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre city xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname friendly family coffee serving _( food english range _( price £ _( less 20 )_ )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee xnear serving _( food english )_ )_ new_sent friendly _( it not family has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area riverside,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating 5 out of 5,,area city centre,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname rated highly coffee located _( centre _( city xnear )_ )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating average,,area city centre,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it centre city )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,area city centre,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,area riverside,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating 1 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee xnear area riverside )_ new_sent has _( it rating _( customer 1 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating 5 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname rated highly coffee located _( riverside xnear )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,customer rating low,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating average,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating low,,area city centre,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee serves _( food english )_ )_ new_sent located _( it centre _( city xnear )_ has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname star five coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname priced high coffee centre _( city serves _( food english )_ )_ )_ new_sent friendly _( it children has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,near xnear,,added,,,,,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ located _( and xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname cheap friendly family coffee serves _( food english )_ )_ new_sent has _( it rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area city centre,,family Friendly yes,,near xnear,,added,,,,,,,,0,0,0,0,
restaurant _( xname friendly family located _( xnear centre city )_ )_ new_sent has _( it rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee serving _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent has _( it rating _( high customer )_ friendly _( and not kid )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating 1 out of 5,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent xnear it new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced moderately coffee located _( riverside xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname cheap coffee centre _( city serves _( food english )_ )_ )_ new_sent friendly _( it not family has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 3 out of 5,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating average,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee xnear rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 3 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area city centre,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating average,,area riverside,,added,,,,,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ )_ new_sent located _( it riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating average,,area city centre,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food english )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating average,,area riverside,,family Friendly no,,added,,,,,,0,0,0,0,
